name,competition,discipline,score,points,rank
sebrle,decastar,x100m,11.04,8217,1
sebrle,decastar,long_jump,7.58,8217,1
sebrle,decastar,shot_put,14.83,8217,1
sebrle,decastar,high_jump,2.07,8217,1
sebrle,decastar,x400m,49.81,8217,1
sebrle,decastar,x110m_hurdle,14.69,8217,1
sebrle,decastar,discus,43.75,8217,1
sebrle,decastar,pole_vault,5.02,8217,1
sebrle,decastar,javeline,63.19,8217,1
sebrle,decastar,x1500m,291.7,8217,1
clay,decastar,x100m,10.76,8122,2
clay,decastar,long_jump,7.4,8122,2
clay,decastar,shot_put,14.26,8122,2
clay,decastar,high_jump,1.86,8122,2
clay,decastar,x400m,49.37,8122,2
clay,decastar,x110m_hurdle,14.05,8122,2
clay,decastar,discus,50.72,8122,2
clay,decastar,pole_vault,4.92,8122,2
clay,decastar,javeline,60.15,8122,2
clay,decastar,x1500m,301.5,8122,2
karpov,decastar,x100m,11.02,8099,3
karpov,decastar,long_jump,7.3,8099,3
karpov,decastar,shot_put,14.77,8099,3
karpov,decastar,high_jump,2.04,8099,3
karpov,decastar,x400m,48.37,8099,3
karpov,decastar,x110m_hurdle,14.09,8099,3
karpov,decastar,discus,48.95,8099,3
karpov,decastar,pole_vault,4.92,8099,3
karpov,decastar,javeline,50.31,8099,3
karpov,decastar,x1500m,300.2,8099,3
bernard,decastar,x100m,11.02,8067,4
bernard,decastar,long_jump,7.23,8067,4
bernard,decastar,shot_put,14.25,8067,4
bernard,decastar,high_jump,1.92,8067,4
bernard,decastar,x400m,48.93,8067,4
bernard,decastar,x110m_hurdle,14.99,8067,4
bernard,decastar,discus,40.87,8067,4
bernard,decastar,pole_vault,5.32,8067,4
bernard,decastar,javeline,62.77,8067,4
bernard,decastar,x1500m,280.1,8067,4
yurkov,decastar,x100m,11.34,8036,5
yurkov,decastar,long_jump,7.09,8036,5
yurkov,decastar,shot_put,15.19,8036,5
yurkov,decastar,high_jump,2.1,8036,5
yurkov,decastar,x400m,50.42,8036,5
yurkov,decastar,x110m_hurdle,15.31,8036,5
yurkov,decastar,discus,46.26,8036,5
yurkov,decastar,pole_vault,4.72,8036,5
yurkov,decastar,javeline,63.44,8036,5
yurkov,decastar,x1500m,276.4,8036,5
warners,decastar,x100m,11.11,8030,6
warners,decastar,long_jump,7.6,8030,6
warners,decastar,shot_put,14.31,8030,6
warners,decastar,high_jump,1.98,8030,6
warners,decastar,x400m,48.68,8030,6
warners,decastar,x110m_hurdle,14.23,8030,6
warners,decastar,discus,41.1,8030,6
warners,decastar,pole_vault,4.92,8030,6
warners,decastar,javeline,51.77,8030,6
warners,decastar,x1500m,278.1,8030,6
zsivoczky,decastar,x100m,11.13,8004,7
zsivoczky,decastar,long_jump,7.3,8004,7
zsivoczky,decastar,shot_put,13.48,8004,7
zsivoczky,decastar,high_jump,2.01,8004,7
zsivoczky,decastar,x400m,48.62,8004,7
zsivoczky,decastar,x110m_hurdle,14.17,8004,7
zsivoczky,decastar,discus,45.67,8004,7
zsivoczky,decastar,pole_vault,4.42,8004,7
zsivoczky,decastar,javeline,55.37,8004,7
zsivoczky,decastar,x1500m,268,8004,7
mcmullen,decastar,x100m,10.83,7995,8
mcmullen,decastar,long_jump,7.31,7995,8
mcmullen,decastar,shot_put,13.76,7995,8
mcmullen,decastar,high_jump,2.13,7995,8
mcmullen,decastar,x400m,49.91,7995,8
mcmullen,decastar,x110m_hurdle,14.38,7995,8
mcmullen,decastar,discus,44.41,7995,8
mcmullen,decastar,pole_vault,4.42,7995,8
mcmullen,decastar,javeline,56.37,7995,8
mcmullen,decastar,x1500m,285.1,7995,8
martineau,decastar,x100m,11.64,7802,9
martineau,decastar,long_jump,6.81,7802,9
martineau,decastar,shot_put,14.57,7802,9
martineau,decastar,high_jump,1.95,7802,9
martineau,decastar,x400m,50.14,7802,9
martineau,decastar,x110m_hurdle,14.93,7802,9
martineau,decastar,discus,47.6,7802,9
martineau,decastar,pole_vault,4.92,7802,9
martineau,decastar,javeline,52.33,7802,9
martineau,decastar,x1500m,262.1,7802,9
hernu,decastar,x100m,11.37,7733,10
hernu,decastar,long_jump,7.56,7733,10
hernu,decastar,shot_put,14.41,7733,10
hernu,decastar,high_jump,1.86,7733,10
hernu,decastar,x400m,51.1,7733,10
hernu,decastar,x110m_hurdle,15.06,7733,10
hernu,decastar,discus,44.99,7733,10
hernu,decastar,pole_vault,4.82,7733,10
hernu,decastar,javeline,57.19,7733,10
hernu,decastar,x1500m,285.1,7733,10
barras,decastar,x100m,11.33,7708,11
barras,decastar,long_jump,6.97,7708,11
barras,decastar,shot_put,14.09,7708,11
barras,decastar,high_jump,1.95,7708,11
barras,decastar,x400m,49.48,7708,11
barras,decastar,x110m_hurdle,14.48,7708,11
barras,decastar,discus,42.1,7708,11
barras,decastar,pole_vault,4.72,7708,11
barras,decastar,javeline,55.4,7708,11
barras,decastar,x1500m,282,7708,11
nool,decastar,x100m,11.33,7651,12
nool,decastar,long_jump,7.27,7651,12
nool,decastar,shot_put,12.68,7651,12
nool,decastar,high_jump,1.98,7651,12
nool,decastar,x400m,49.2,7651,12
nool,decastar,x110m_hurdle,15.29,7651,12
nool,decastar,discus,37.92,7651,12
nool,decastar,pole_vault,4.62,7651,12
nool,decastar,javeline,57.44,7651,12
nool,decastar,x1500m,266.6,7651,12
bourguignon,decastar,x100m,11.36,7313,13
bourguignon,decastar,long_jump,6.8,7313,13
bourguignon,decastar,shot_put,13.46,7313,13
bourguignon,decastar,high_jump,1.86,7313,13
bourguignon,decastar,x400m,51.16,7313,13
bourguignon,decastar,x110m_hurdle,15.67,7313,13
bourguignon,decastar,discus,40.49,7313,13
bourguignon,decastar,pole_vault,5.02,7313,13
bourguignon,decastar,javeline,54.68,7313,13
bourguignon,decastar,x1500m,291.7,7313,13
sebrle,olympicg,x100m,10.85,8893,1
sebrle,olympicg,long_jump,7.84,8893,1
sebrle,olympicg,shot_put,16.36,8893,1
sebrle,olympicg,high_jump,2.12,8893,1
sebrle,olympicg,x400m,48.36,8893,1
sebrle,olympicg,x110m_hurdle,14.05,8893,1
sebrle,olympicg,discus,48.72,8893,1
sebrle,olympicg,pole_vault,5,8893,1
sebrle,olympicg,javeline,70.52,8893,1
sebrle,olympicg,x1500m,280.01,8893,1
clay,olympicg,x100m,10.44,8820,2
clay,olympicg,long_jump,7.96,8820,2
clay,olympicg,shot_put,15.23,8820,2
clay,olympicg,high_jump,2.06,8820,2
clay,olympicg,x400m,49.19,8820,2
clay,olympicg,x110m_hurdle,14.13,8820,2
clay,olympicg,discus,50.11,8820,2
clay,olympicg,pole_vault,4.9,8820,2
clay,olympicg,javeline,69.71,8820,2
clay,olympicg,x1500m,282,8820,2
karpov,olympicg,x100m,10.5,8725,3
karpov,olympicg,long_jump,7.81,8725,3
karpov,olympicg,shot_put,15.93,8725,3
karpov,olympicg,high_jump,2.09,8725,3
karpov,olympicg,x400m,46.81,8725,3
karpov,olympicg,x110m_hurdle,13.97,8725,3
karpov,olympicg,discus,51.65,8725,3
karpov,olympicg,pole_vault,4.6,8725,3
karpov,olympicg,javeline,55.54,8725,3
karpov,olympicg,x1500m,278.11,8725,3
