record_id,common_name,scientific_name,characteristics,abbreviation,count
1083001,royal/wandering_albatross,diomedea_epomophora/sanfordi/antipodensis/exulans,NA,dioeposanantexu,6
1083001,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,NA,dioimpmel,2
1083001,cape_petrel,daption_capense,NA,dapcap,8
1083001,fairy_prion,pachyptila_turtur,NA,pactur,2
1083001,sooty_shearwater,puffinus_griseus,NA,pufgri,4
1084001,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,NA,dioeposan,10
1084001,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,NA,dioimpmel,2
1084001,sooty_shearwater,puffinus_griseus,NA,pufgri,18
1084002,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,NA,dioeposan,10
1084002,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,NA,dioimpmel,2
1084002,cape_petrel,daption_capense,NA,dapcap,2
1084002,prion_(unidentified),pachyptila_sp,NA,pacsp,2
1084002,sooty_shearwater,puffinus_griseus,NA,pufgri,8
1084002,seabird_(unidentified),NA,NA,seabun,1
1084003,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,NA,dioeposan,14
1084003,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,NA,dioimpmel,4
1084003,giant_petrel_sensu_lato,macronectes_sp.,NA,macsp,3
1084003,cape_petrel,daption_capense,NA,dapcap,8
1084003,fairy_prion,pachyptila_turtur,NA,pactur,18
1086001,fairy_prion,pachyptila_turtur,NA,pactur,6
1086001,black_petrel,procellaria_parkinsoni,NA,propar,55
1086001,australasian_gannet,morus_serrator,NA,morser,12
1086002,wilson's_storm_petrel,oceanites_oceanicus,NA,oceoce,22
1086002,australasian_gannet,morus_serrator,NA,morser,7
1086003,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,AD,dioantexu_ad,4
1086003,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,JUV,dioantexu_juv,2
1086003,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,3
1086003,northern_giant_petrel,macronectes_halli,NA,machal,3
1086003,white-chinned_petrel,procellaria_aequinoctialis,NA,proaeq,1
1086003,sooty_shearwater,puffinus_griseus,NA,pufgri,1
1086004,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,AD,dioantexu_ad,4
1086004,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,JUV,dioantexu_juv,2
1086004,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,NA,dioeposan,3
1086004,northern_giant_petrel,macronectes_halli,NA,machal,1
1086004,white-chinned_petrel,procellaria_aequinoctialis,NA,proaeq,1
1086005,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,AD,dioantexu_ad,3
1086005,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,4
1086005,northern_royal_albatross,diomedea_sanfordi,AD,diosan_ad,2
1086005,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,NA,dioeposan,4
1086005,white-chinned_petrel,procellaria_aequinoctialis,NA,proaeq,2
1086005,petrel_(unidentified),NA,NA,petrun,2
1086006,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,1
1086006,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,NA,dioeposan,3
1086007,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,1
1086007,sooty_shearwater,puffinus_griseus,NA,pufgri,1
1086007,australasian_gannet,morus_serrator,NA,morser,1
1087002,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,3
1087002,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,2
1087002,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,3
1087002,white-chinned_petrel,procellaria_aequinoctialis,NA,proaeq,3
1087003,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,3
1087003,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,2
1087003,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,3
1087003,white-chinned_petrel,procellaria_aequinoctialis,NA,proaeq,6
1087003,sooty_shearwater,puffinus_griseus,NA,pufgri,48
1087003,diving-petrel_(unidentified),pelecanoides_sp.,NA,pelsp,1
1087004,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,3
1087004,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,2
1087004,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,3
1087005,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,3
1087005,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,2
1087005,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,3
1087006,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,3
1087006,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,AD,dioeposan_ad,2
1087006,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,3
1087007,diving-petrel_(unidentified),pelecanoides_sp.,NA,pelsp,2
1087008,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,AD,dioantexu_ad,1
1087008,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,1
1087008,southern_royal_albatross,diomedea_epomophora,AD,dioepo_ad,2
1087008,southern_royal_albatross,diomedea_epomophora,SUBAD,dioepo_subad,3
1087008,cape_petrel,daption_capense,NA,dapcap,4
1087008,broad-billed_prion,pachyptila_vittata,NA,pacvit,48
1087009,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,1
1087009,royal_albatross_sensu_lato,diomedea_epomophora/sanfordi,IMM,dioeposan_imm,1
1087009,fairy_prion,pachyptila_turtur,NA,pactur,4
1087009,buller's_shearwater,puffinus_bulleri,NA,pufbul,4
1087009,sooty_shearwater,puffinus_griseus,NA,pufgri,2
1087009,broad-billed_prion,pachyptila_vittata,NA,pacvit,32
1087010,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,2
1087010,buller's_shearwater,puffinus_bulleri,NA,pufbul,2
1087010,skua_(unidentified),catharacta/stercorarius_sp.,NA,skuaun,1
1087011,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,IMM,dioantexu_imm,2
1087011,cape_petrel,daption_capense,NA,dapcap,3
1087011,buller's_shearwater,puffinus_bulleri,NA,pufbul,15
1087011,sooty_shearwater,puffinus_griseus,NA,pufgri,2
1087011,australasian_gannet,morus_serrator,NA,morser,2
1088001,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,SUBAD,dioantexu_subad,6
1088001,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,SUBAD,dioimpmel_subad,1
1088001,cape_petrel,daption_capense,NA,dapcap,5
1088001,flesh-footed_shearwater,puffinus_carneipes,NA,pufcar,1
1088001,subantarctic_skua,catharacta_antarctica,NA,catant,1
1088002,wedge-tailed_shearwater,puffinus_pacificus,NA,pufpac,40
1088002,black-winged_petrel,pterodroma_nigripennis,NA,ptenig,2
1088003,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,SUBAD,dioantexu_subad,7
1088003,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,1
1088003,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,SUBAD,dioimpmel_subad,1
1088003,cape_petrel,daption_capense,NA,dapcap,3
1088003,pomarine_skua,stercorarius_pomarinus,NA,stepom,2
1088004,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,AD,dioantexu_ad,1
1088004,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,SUBAD,dioantexu_subad,5
1088004,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,5
1088004,giant_petrel_sensu_lato,macronectes_sp.,NA,macsp,1
1088004,cape_petrel,daption_capense,NA,dapcap,4
1088004,shearwater_(unidentified),puffinus_sp.,NA,pufsp,2
1088005,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,SUBAD,dioantexu_subad,4
1088005,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,AD,dioimpmel_ad,7
1088005,black-browed_albatross_sensu_lato,diomedea_impavida/melanophrys,SUBAD,dioimpmel_subad,5
1088005,cape_petrel,daption_capense,NA,dapcap,3
1088005,sooty_shearwater,puffinus_griseus,NA,pufgri,2
1088006,wandering_albatross_sensu_lato,diomedea_antipodensis/exulans,SUBAD,dioantexu_subad,4
